source,target,key,relationship_type,layer,confidence,trial_id,evidence_text,direction,temporal_marker
Margueritte,Anthoine Epvre,0,SPOUSE_OF,kinship,1.0,w106,Margueritte femme Anthoine Epvre de Bathelemont,undirected,
Margueritte,Nicolas Olry,0,SPOUSE_OF,kinship,1.0,w106,Margueritte femme Nicolas Olry de Bathelemont,undirected,
Margueritte,Nicolas Adam,0,SPOUSE_OF,kinship,1.0,w106,Margueritte femme Nicolas Adam de Bathelemont,undirected,
Margueritte,Nicolas Vaultrin,0,WIDOW_OF,kinship,1.0,w106,Margueritte veuve Nicolas Vaultrin de Bathelemont,directed,
Margueritte,Claudon Gasel,0,SPOUSE_OF,kinship,1.0,w109,Margueritte femme Claudon Gasel,undirected,
Margueritte,Dedier Roy,0,WIDOW_OF,kinship,1.0,w112,Margueritte veuve Dedier Roy,directed,
Margueritte,Jean Husson,0,WIDOW_OF,kinship,1.0,w115,Margueritte veuve Jean Husson,directed,
Margueritte,Jean Husson,1,WIDOW_OF,kinship,1.0,w138,Margueritte veuve Jean Husson des Petites Rosieres,directed,
Margueritte,Jean Gardel,0,SPOUSE_OF,kinship,1.0,w115,Margueritte femme Jean Gardel,undirected,
Margueritte,Noel Gerard,0,SPOUSE_OF,kinship,1.0,w119,Margueritte femme Noel Gerard,undirected,
Margueritte,Claudon Pierre,0,SPOUSE_OF,kinship,1.0,w133,Margueritte femme Claudon Pierre Loys de Rozieres,undirected,
Margueritte,George Jean,0,SPOUSE_OF,kinship,1.0,w184,Margueritte femme George Jean le Clerc,undirected,
Margueritte,Colas,0,SPOUSE_OF,kinship,1.0,w215,Margueritte femme Colas des Mailles,undirected,
Margueritte,Colas,1,SPOUSE_OF,kinship,1.0,w241,Margueritte femme Colas des Mailles,undirected,
Margueritte,Colas,2,SPOUSE_OF,kinship,1.0,w331,Margueritte femme Colas des Pommettes bourgeois de Ste Marie,undirected,
Margueritte,Nicolas Aubert,0,SPOUSE_OF,kinship,1.0,w232,Margueritte femme Nicolas Aubert,undirected,
Margueritte,Adam Rocq,0,SPOUSE_OF,kinship,1.0,w242,Margueritte femme Adam Rocq,undirected,
