name,canonical_id,entity_type,gender,outcome,locations,num_trial_appearances,is_super_witness,became_accused
jennatte,E00108,witness,female,,[],1,False,False
françoise chrestofle austien,E00109,witness,female,,[],1,False,False
alix jean jerome,E00110,witness,female,,[],1,False,False
zabillon nicolas remy,E00111,witness,female,,[],1,False,False
enguel aubert,E00112,witness,female,,[],2,False,False
margueritte simon thieriet,E00113,witness,female,,"['St Nicolas', 'Leuce', 'Hurbache', 'Neufville']",20,True,False
françoise nicolas brunquart,E00114,witness,female,,[],1,False,False
jehenne jean sernay,E00115,witness,female,,['Laveline'],10,True,False
mongeatte françois tanaire,E00116,witness,female,,[],4,True,False
zabel dieudonné cardillon,E00117,witness,female,,[],5,True,False
claudon nicolas gerardin,E00118,witness,male,,"['Remomeix', 'Brehimont', 'Condé', 'Belmont', 'Benamesnil']",25,True,False
jennon thomas gerardin,E00119,witness,female,,[],1,False,False
claudon jean munisier,E00120,witness,male,,['Mesmerey'],7,True,False
thomas gerardin,E00121,witness,male,,[],4,True,False
colas vallentine,E00122,witness,male,,"['Sainte Margarée', 'Clemecey', 'Xainfain', 'Haillieulle', 'Lavelline', 'Ste Margaree', 'Anould']",18,True,False
jean jennat,E00123,witness,male,,[],1,False,False
symon thieriet,E00124,witness,male,,"['St Nicolas', 'Besmont']",4,True,False
aynel jean abriat,E00125,witness,female,,[],1,False,False
betrix jean didier,E00126,witness,female,,[],1,False,False
didier bregeat,E00127,witness,unknown,,[],1,False,False
anne jeune fille,E00128,witness,female,,['Didier Simon'],2,False,False
françoise jeune fille,E00129,witness,female,,[],1,False,False
saulfroy poirsin,E00130,witness,unknown,,[],1,False,False
claudatte george nicolas marchal,E00131,witness,female,,"['Nancy', 'Repas']",3,True,False
jehenne didier bregeat,E00132,witness,female,,[],1,False,False
jennon cesar jennat,E00133,witness,female,,[],1,False,False
perise nicolas gaspart,E00134,witness,female,,[],1,False,False
toussainct friche,E00135,witness,unknown,,[],1,False,False
cesar jannat,E00136,witness,unknown,,[],1,False,False
nicolas jeune fils,E00137,witness,male,,['Claudon Colas'],2,False,False
noble nicolas regnault,E00138,witness,male,,[],1,False,False
didier grand didier,E00139,witness,unknown,,['Entre-deux-'],3,True,False
jean,E00140,witness,male,,"['Chanoy', 'Brouvelieures', 'Loizey', 'Lalebarde', 'Bussang', 'Haillieulle', 'Xennenay', 'Laistre', 'Raon', 'Saint Remy', 'Saulcy', 'Pajaille']",60,True,False
jehenne pierre vigneron,E00141,witness,female,,[],1,False,False
margueritte didon,E00142,witness,unknown,,[],1,False,False
mathis jacquart,E00143,witness,unknown,,[],1,False,False
anne caillet,E00144,witness,female,,[],1,False,False
herbs,E00145,witness,unknown,,[],1,False,False
was not confronted when she said her only suspicions came from remarks at mill.,E00146,witness,unknown,,[],1,False,False
denied telling her she had not eaten pears,E00147,witness,unknown,,[],1,False,False
landry jehennel,E00148,witness,unknown,,[],1,False,False
jeanne michiel godar,E00149,witness,female,,[],3,True,False
marguerite clau,E00150,witness,female,,[],6,True,False
michiel godar,E00151,witness,unknown,,[],2,False,False
bastienne nicolas mercier,E00152,witness,female,,['Charmes'],4,True,False
gerard marchal,E00153,witness,unknown,,['Vicherey'],5,True,False
george guyart,E00154,witness,unknown,,[],2,False,False
jacquatte didier martin,E00155,witness,female,,[],1,False,False
françoise george guyart,E00156,witness,female,,[],1,False,False
anthoinette,E00157,witness,female,,['Ranfaing'],9,True,False
jean charton,E00158,witness,male,,[],2,False,False
marie,E00159,witness,female,,"['Saint Dié', 'Mazelay', 'Clement Behel', 'Jean Bocquel', 'St Nicolas', 'Bruyeres', 'Raon', 'Sainte Croix', 'Mouriviller']",59,True,False
hublotte,E00160,witness,unknown,,[],1,False,False
marguerite jeune,E00161,witness,female,,[],1,False,False
clement,E00162,witness,unknown,,['Agincourt'],4,True,False
waultier poirillon,E00163,witness,unknown,,[],1,False,False
jean saffrois,E00164,witness,male,,[],1,False,False
catherine nicolas symmonet,E00165,witness,female,,[],1,False,False
nicolas symmonet,E00166,witness,male,,[],1,False,False
mengeatte jean symmonet,E00167,witness,female,,['Hapt'],7,True,False
nicolas jacquart,E00168,witness,male,,['Neumont'],2,False,False
laurence nicolas symmonet,E00169,witness,female,,[],1,False,False
anthoine cherier,E00170,witness,unknown,,[],1,False,False
mengin richard,E00171,witness,unknown,,[],1,False,False
thiebault thiebault dit patticier,E00172,witness,unknown,,[],1,False,False
noel perrin,E00173,witness,unknown,,[],1,False,False
simon bretton,E00174,witness,male,,['St Nicolas'],2,False,False
nicolas remy,E00175,witness,male,,[],2,False,False
honn homme remy dieudonné,E00176,witness,unknown,,[],1,False,False
nicolas lyenal,E00177,witness,male,,[],1,False,False
george hillaire,E00178,witness,unknown,,[],1,False,False
drowat thiebault,E00179,witness,unknown,,[],1,False,False
margueritte daniel houin,E00180,witness,female,,[],1,False,False
melchior bryant,E00181,witness,unknown,,[],1,False,False
bietrix françois thierion,E00182,witness,female,,[],2,False,False
claudin caillatte,E00183,witness,unknown,,[],1,False,False
martin bourdon,E00184,witness,unknown,,['Champegnoult'],2,False,False
nicolas boucher,E00185,witness,male,,['Champegnoult'],2,False,False
jean melain,E00186,witness,male,,[],1,False,False
epve thouvenin jeune fils,E00187,witness,male,,['Champegnoult'],1,False,False
claudon corbel,E00188,witness,male,,[],1,False,False
claude,E00189,witness,male,,['Montigny'],3,True,False
noel warin,E00190,witness,unknown,,[],1,False,False
epne thouvenin,E00191,witness,unknown,,[],1,False,False
mathiat play cesson,E00192,witness,unknown,,[],1,False,False
françoise a,E00193,witness,female,,['Champegnoult'],1,False,False
zabillon a mathiat play cesson,E00194,witness,female,,[],1,False,False
laurent mathieu,E00195,witness,unknown,,[],1,False,False
dion a colas mathiat,E00196,witness,female,,['Herbeviller'],1,False,False
margueritte veuve,E00197,witness,female,,['Demenge Gatton'],1,False,False
didier martin dit saulnier,E00198,witness,unknown,,[],1,False,False
george guiart,E00199,witness,unknown,,[],1,False,False
jeanne clau,E00200,witness,female,,[],1,False,False
laurence laurent blanc didier,E00201,witness,female,,[],1,False,False
claudin thieriet,E00202,witness,unknown,,[],1,False,False
claudon claudin fulpin,E00203,witness,female,,[],1,False,False
barthelemin mansuin,E00204,witness,unknown,,['Veho'],2,False,False
dion parel vilaume le vieux,E00205,witness,female,,[],1,False,False
nicolas bourca,E00206,witness,male,,[],1,False,False
noble jean pierre dattel,E00207,witness,male,,[],1,False,False
anne nicolas granice,E00208,witness,female,,['Lorette'],2,False,False
jean collusse,E00209,witness,male,,[],1,False,False
jan graniere,E00210,witness,unknown,,[],1,False,False
pierot blaise andre,E00211,witness,unknown,,[],1,False,False
claudon gerard,E00212,witness,male,,[],2,False,False
marion veuve,E00213,witness,female,,['Jacot Estiennon'],3,True,False
cury jacot michel,E00214,witness,unknown,,['Seuch'],1,False,False
nicolas arnould raon,E00215,witness,male,,['Seuch'],1,False,False
vincent,E00216,witness,male,,['Entre-deux-'],11,True,False
margueritte femme,E00217,witness,female,,['Vincent Delon'],4,True,False
