name,entity_type,gender,location,authority_role,num_trial_appearances,is_super_witness,personal_suspicion,was_witness_then_accused
B 8677 no 10; Witch 164,accused,female,Mandray,,1,False,False,False
B 8677 no 11; witch 165,accused,male,Pair,,1,False,False,False
B 8677 no 12; witch 166,accused,female,St Blaise,,1,False,False,False
B 8677 no 13 and B 8680 no 1; witch 167,accused,female,,,1,False,False,False
B 8678 no 1; witch 168,accused,female,Faing,,1,False,False,False
B 8678 no 2; witch 169,accused,female,St Dié,,1,False,False,False
B 8678 no 3; witch 170,accused,male,Remomeix,,1,False,False,False
B 8678 no 4; witch 171,accused,female,St Dié,,1,False,False,False
B 8680 no 2; witch 172,accused,male,Paire,,1,False,False,False
B 8680 no 4; witch 174,accused,female,Mandray,,1,False,False,False
B 8680 no 5; witch 175,accused,female,Saulcy-sur-,,1,False,False,False
B 8680 no 6; witch 176,accused,male,Saulcy,,1,False,False,False
B 8680 no 7; witch 177,accused,unknown,Saulcy,,1,False,False,False
B 8680 no 8; witch 178,accused,unknown,Sarupt,,1,False,False,False
B 8682 no 1; witch 179,accused,female,,,1,False,False,False
B 8682 no 2; witch 180,accused,female,Colroy,,1,False,False,False
B 8682 no 3; witch 181,accused,male,Moriviller,,1,False,False,False
B 8682 no 4; witch 182,accused,female,Moriviller,,1,False,False,False
B 8682 no 5; witch 183,accused,female,St Marguerite,,1,False,False,False
B 8682 no 6; witch 184,accused,female,Girompaire,,1,False,False,False
B 8682 no 7; witch 185,accused,female,Faing,,1,False,False,False
B 8682 no 8; witch 186,accused,female,Laygoutte,,1,False,False,False
B 8682 no 9; witch 187,accused,female,Ste Marguerite,,1,False,False,False
B 8684 no 1. Witch 188,accused,male,Hurbache,,1,False,False,False
B 8684 no 2. Witch 189; Marion veuve Demenge Arnoulx,accused,female,Sauceray,,1,False,False,False
B 8684 no 3. Witch 77,accused,female,Clefcy,,1,False,False,False
B 8684 no 4; Witch 191,accused,male,Sauceray,,1,False,False,False
B 8684 no 5; Witch 192,accused,female,Saulceray,,1,False,False,False
B 8684 no 6. Witch 193,accused,female,Clefcy,,1,False,False,False
B 8684 no 7. Witch 194; Jean Lallemant de St Lienard,accused,male,St Lienard,,1,False,False,False
B 8684 no 8. Witch 195,accused,female,Sarupt,,1,False,False,False
B 8684 no 9. Witch 196,accused,male,St Lienard,,1,False,False,False
B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,accused,female,,,1,False,False,False
B 8684 no 11; witch 198,accused,male,Brehimont,,1,False,False,False
B 8687 no 1; witch 199,accused,female,Viel Marché,,1,False,False,False
B 8687 no 2; witch 200,accused,female,,,1,False,False,False
B 8687 no 3; witch 201,accused,female,Vieux Marché,,1,False,False,False
B 8687 no 4; witch 202,accused,female,,,1,False,False,False
B 8687 no 5; witch 203,accused,female,Moriviller,,1,False,False,False
B 8687 no 6; witch 204,accused,female,,,1,False,False,False
B 8687 no 7; witch 205,accused,female,,,1,False,False,False
B 8687 no 8; witch 206,accused,female,Mesnil,,1,False,False,False
B 8687 no 9; witch 207,accused,male,,,1,False,False,False
B 8687 no 10; witch 208,accused,male,Brehimont,,1,False,False,False
Witch 209; B 8689 no 1,accused,male,,,1,False,False,False
Witch 210; B 8689 no 2,accused,unknown,,,1,False,False,False
Witch 211; B 8689 no 3,accused,female,,,1,False,False,False
B 8691 no 1; witch 212,accused,unknown,Raon,,1,False,False,False
B 8691 no 2; witch 213,accused,female,Raon,,1,False,False,False
B 8691 no 3; witch 214,accused,female,Raon,,1,False,False,False
B 8691 no 4; witch 215,accused,female,Raon,,1,False,False,False
B 8691 no 5; witch 216,accused,female,St Blaise,,1,False,False,False
B 8691 no 8; witch 218,accused,female,,,1,False,False,False
B 8691 no 7; witch 219,accused,female,,,1,False,False,False
B 8691 no 9; witch 220,accused,male,Remémont,,1,False,False,False
B 8691 no 10; witch 221,accused,male,St Blaise,,1,False,False,False
B 8691 no 11; witch 222,accused,female,St Blaise,,1,False,False,False
B 8691 no 12; witch 223,accused,female,Leuce,,1,False,False,False
B 8691 no 13; witch 224,accused,female,Remémont,,1,False,False,False
B 8691 no 14; witch 225,accused,female,St Blaise,,1,False,False,False
B 8691 no 15; witch 226,accused,unknown,Benifosse,,1,False,False,False
B 8691 no 16; witch 227,accused,female,Anozel,,1,False,False,False
B 8691 no 17; witch 228,accused,male,St Jean,,1,False,False,False
B 8691 no 18; witch 229,accused,unknown,,,1,False,False,False
B 8693 no 1; witch 230,accused,female,Colroy,,1,False,False,False
B 8693 no 2; witch 231,accused,male,Vivier,,1,False,False,False
Barbelline femme Didier Antoine,accused,female,Entre-deux-,,1,False,False,False
B 8693 no 4; witch 233,accused,male,Wisembach,,1,False,False,False
B 8693 no 5; witch 234,accused,female,,,1,False,False,False
B 8699; witch 235,accused,female,Lubine,,1,False,False,False
B 8700 no 1; witch 236,accused,female,Vic,,1,False,False,False
B 8700 no 2; witch 237,accused,male,Vacqueville,,1,False,False,False
B 8700 no 3; witch 238,accused,female,Raon,,1,False,False,False
B 8700 no 4; witch 239,accused,female,St Dié,,1,False,False,False
B 8702 no 1; witch 240,accused,male,Bertrimoutier,,1,False,False,False
B 8702 no 6; witch 245,accused,female,Raves,,1,False,False,False
B 8702 no 7; Witch 246,accused,female,Raves,,1,False,False,False
B 8702 no 8; witch 247,accused,female,La Neuveville-les-,,1,False,False,False
B 8702 no 9; witch 248,accused,male,,,1,False,False,False
B 8702 no 10; witch 249,accused,female,,,1,False,False,False
B 8702 no 11; witch 250,accused,female,,,1,False,False,False
Witch 251; B 8704 no 1,accused,female,,,1,False,False,False
B 8704 no 2. Witch 252: Georgeatte femme Demenge Jean Chopat,accused,female,La Neuveville-,,1,False,False,False
B 8707 no 1; witch 253,accused,female,,,1,False,False,False
B 8707 no 2; witch 254,accused,male,,,1,False,False,False
B 8707 no 3; witch 255,accused,male,Sachemont,,1,False,False,False
B 8707 no 4; witch 256,accused,male,,,1,False,False,False
B 8707 no 5; witch 257,accused,female,Laval,,1,False,False,False
