person1,person2,relationship_type,trial_id,evidence_text,confidence
Margueritte,Claudon Forget,spouse_widow,w137,"B 8535 no 5; witch 137, Margueritte veuve Claudon Forget de Rozieres",1.0
Claudatte,Michel Demenge,spouse_widow,w146,"Witch 146: B8667 no 8, Claudatte veuve Michel Demenge Antoine du Viel Marché",1.0
Laurence,George Jolbay,spouse_wife,w147,Witch 147: B8667 no 9: Laurence femme George Jolbay de Ste Margaree,1.0
Jeanne,Jean Lienard,spouse_wife,w148,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",1.0
Barbeline,Claude Wanesson,spouse_wife,w150,"B 8669 no 3; Witch 150, Barbeline femme Claude Wanesson, de St Dié",1.0
Mengeotte,Didier Le,child_daughter,w151,"B 8669 no 4; witch 151, Mengeotte fille Didier Le Compaing, of Develine, ban",1.0
Jehennon,Jean Perrin,spouse_wife,w153,"B 8673 no 2; witch 153, Jehennon femme Jean Perrin de Girovillers-sous-Montfort",1.0
Barbelline,Jean Girardin,spouse_wife,w157,"Witch 157: B8677 no 3, Barbelline femme Jean Girardin de Bonipaire",1.0
Meline,Martin Gentilhomme,spouse_widow,w158,"Witch 158: B8677 no 4, Meline veuve Martin Gentilhomme de St Dié",1.0
Blasotte,Claudon Collon,spouse_wife,w160,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",1.0
Claudatte,Estienne Jean,spouse_widow,w161,"Witch 161; B8677 no 7, Claudatte veuve Estienne Jean Saulcy, d’Entre-deux-Eaux",1.0
Jehenne,Demenge,spouse_wife,w163,"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",1.0
Jeanne,Demenge Claude,spouse_wife,w164,"B 8677 no 10; Witch 164, Jeanne femme Demenge Claude Martin, de Mandray",1.0
Mongeatte,Jacques,spouse_widow,w166,"B 8677 no 12; witch 166, Mongeatte veuve Jacques de la Woeuvre, de St Blaise",1.0
Catherine,Villaume Jean,spouse_wife,w167,"B 8677 no 13 and B 8680 no 1; witch 167, Catherine femme Villaume Jean Martin du",1.0
Laurence,Nicolas Viney,spouse_wife,w168,"B 8678 no 1; witch 168, Laurence femme Nicolas Viney, du Faing (Ste Marguerite)",1.0
Marion,Demenge,spouse_widow,w169,"B 8678 no 2; witch 169, Marion veuve Demenge le Masson, de St Dié",1.0
Libaire,Guillaume Bouchier,spouse_wife,w171,"B 8678 no 4; witch 171, Libaire femme Guillaume Bouchier, de St Dié",1.0
Barbelline,Mengeon Jean,spouse_wife,w174,"B 8680 no 4; witch 174, Barbelline femme Mengeon Jean de Mandray",1.0
Mongeatte,Claude Tendon,spouse_wife,w175,"B 8680 no 5; witch 175, Mongeatte femme Claude Tendon, de Saulcy-sur-Meurthe",1.0
