node,degree,betweenness,rank_type,period
"B 3323 no 3; witch 027, la Grande Marye, veuve Did",13,0.04208363238016092,betweenness,1600-1604
Nicolas le Clerc,2,0.04039134212216221,betweenness,1600-1604
Jean Grand Jean,4,0.03371523865147569,betweenness,1600-1604
Jean Breton,2,0.03154912552411891,betweenness,1600-1604
"B 3323 no 5; witch 029, Mathieu Margeron de Leintr",7,0.03153552676311714,betweenness,1600-1604
nan,78,0.0240664415059057,degree,1605-1609
"B 4094 no 1 Witch 073, Catherine la Rondelatte",29,0.0019367641727250178,degree,1605-1609
"B 5757; witch 105, Sibille femme Jean Vacquaire d'",24,0.0013166180090445933,degree,1605-1609
"B 5344 no 1; witch 098, Synnel, femme Hans Stumpff",23,0.005089968897284714,degree,1605-1609
"Witch 343; Dumont, t. 2, i-xxvii, Claudon Hardier,",23,0.0012068998416242104,degree,1605-1609
"B 3329; Witch 041, Claudatte femme Nicolas Chollat",21,0.0010017745720991471,degree,1605-1609
"B 5344 no 3; witch 100, Synnelle femme Schneyder H",21,0.004534222527524949,degree,1605-1609
"B 8700 no 4; witch 239, Claudette femme Bastien De",19,0.00905890434483943,degree,1605-1609
"B 8702 no 1; witch 240, Jean Gregoire Mathis de Be",18,0.00859617989963173,degree,1605-1609
"B 8702 no 8; witch 247, Sebille femme Etienne Pesc",18,0.018912072814700327,degree,1605-1609
"B 8702 no 9; witch 248, Jean Pierron Geliat, de la",18,0.017788654187417707,betweenness,1605-1609
?,3,0.015398706279695461,betweenness,1605-1609
"B 3335 no 1; witch 043, Jennon veuve Jean Zabey, d",15,0.013590741694811762,betweenness,1605-1609
Catherine femme du precedent,2,0.012422004694029425,betweenness,1605-1609
Didier Chottey,3,0.010265804186463645,betweenness,1605-1609
"B 3343; witch 046, Margueritte femme Claude Martin",16,0.007656419943900624,betweenness,1605-1609
"B 5769; witch 106, Babillon femme Claudon Girard d",68,0.007145523382925399,degree,1610-1614
"B 2192 no 2, witch 003, Claudon femme Jean Bregeat",57,0.016424038820455393,degree,1610-1614
nan,46,0.003318684696723034,degree,1610-1614
"B 3347 no 1; witch 048, Claude Henri, d'Autrepierr",30,0.014273794624232672,degree,1610-1614
