node,n_neighbors,accused_neighbors,exposure_ratio,is_accused
Jennon femme Jean Mongeay de Domjevin,1,1,1.0,0
Jalnon femme Nicolas Jean de Flin,1,1,1.0,0
"B 2583 no 5; witch 019, Jean Brice George de Xouar",17,0,0.0,1
Lucas Champestre,1,0,0.0,0
Mengeon Claude,1,0,0.0,0
Barbe femme Steffen Faulhanns,1,1,1.0,0
Virion Cherrier homme non marié de Chazelle,1,1,1.0,0
Agnes veuve Jean Demenge Babel de Faing-Thiery,1,1,1.0,0
Demenge le Petit Nicolas de Robache,10,1,0.1,0
Claudel Didier maire au Ban le Duc,1,1,1.0,0
Nicolas le petit Nicolas,1,1,1.0,0
Jean Hangney,12,2,0.16666666666666666,0
Jean Micquel,10,1,0.1,0
B 8700 no 2; witch 237,1,0,0.0,0
Nicolas Villemin,1,1,1.0,0
Jean Pelisson de Moriviller,1,0,0.0,0
B 8708 no 6; witch 267,2,0,0.0,0
Thomas Diez,1,0,0.0,0
Royne femme a Bastien Ferry du ban le duc,1,1,1.0,0
Demenge Pierson,13,3,0.23076923076923078,0
B 7137 no 1; witch 115,2,0,0.0,0
Jehenne Stablo,1,0,0.0,0
Colas Goudot,1,0,0.0,0
Claudatte veuve Colas Houchard,1,1,1.0,0
Demenge Lucas of the same,5,1,0.2,0
Jannon femme Nicolas Napuel de Brouvelieures,10,1,0.1,0
Mongeatte femme Jean le Maire,10,1,0.1,0
Jean Demenge Noel du Chanoy de Saulcy,10,1,0.1,0
Claudin Caillatte,10,1,0.1,0
Didier Martin,1,0,0.0,0
Nicolas Coupechausse,2,1,0.5,0
Claudon,40,0,0.0,0
Chesnon la Triffatte,1,0,0.0,0
Claudon Forget,1,0,0.0,0
"B 8717 no 2; witch 285, Marguitte femme Chrestien ",13,0,0.0,1
Colas Claudon Bertrand,10,1,0.1,0
Fremy le Gendarme,6,0,0.0,0
Corny,3,0,0.0,0
Margueritte femme Hermans Hanns,10,1,0.1,0
Nicolas Paiatte,1,0,0.0,0
Margueritte Gallier,3,0,0.0,0
Bastien Prevost d'Essegney,1,1,1.0,0
Mengeatte femme Jean Gerard de Brehimont,1,1,1.0,0
"Claudon Tontelat de Moyenmoutier
18 months earlier",1,1,1.0,0
Thomas Jacquat,1,0,0.0,0
Nicolas Lavelline,10,1,0.1,0
Margueritte femme Nicolas Simon,10,1,0.1,0
Adam Ganiel du Void de Belmont,1,1,1.0,0
Henry fils Nicolas Zabey,10,1,0.1,0
Synnelle femme Schur Adam d'Amange (Insming),1,0,0.0,0
Claudon Demenge Jean Perry,10,1,0.1,0
Le maire Demenge Mareschal,1,1,1.0,0
Demenge Reillemant de la Chapelle,1,1,1.0,0
Jennon femme Dieudonné Coupechausse,10,1,0.1,0
Zabillon veuve Nicolas Sellier,1,1,1.0,0
Jean Venin,1,1,1.0,0
Estienne Cherrier,10,1,0.1,0
Nicolas George,2,1,0.5,0
Demenge de Nomeny,1,1,1.0,0
"B 3325 no 2; witch 035, Clemence veuve Claudon Mar",33,0,0.0,1
B 8707 no 5; witch 257,2,0,0.0,0
Jean Noel,12,2,0.16666666666666666,0
Jean Claude Jean Mengenot,10,1,0.1,0
Barbe femme Thierion Thierion,5,1,0.2,0
Gurien Marie de la Chapelle,1,1,1.0,0
Noel Warin,10,1,0.1,0
Elizabethe femme Nicolas Bouchier de Bathelemont,1,1,1.0,0
Mengeon Napuel,1,1,1.0,0
Mre Claude,1,0,0.0,0
Claudon des Rechez,10,1,0.1,0
Epne,1,0,0.0,0
Claudatte fille feu Jean Demenge Perry,10,1,0.1,0
Claudon Gobel laboureur de St. Prancher,1,1,1.0,0
Aubert Demenge,1,0,0.0,0
Barbe veuve Francois Barbier de Saint Nicolas,1,0,0.0,0
Bride,1,0,0.0,0
Nicolas Braconnier,1,1,1.0,0
Jeanne femme Demenge Mercier,2,0,0.0,0
B 3363; witch 052,2,0,0.0,0
Wautrin Fenestrier,10,1,0.1,0
Mengeotte femme Colas Ratonge,10,1,0.1,0
B 8726 no 2; witch 307,3,0,0.0,0
