source,target,relationship
Claudon Fourestier d'Einville,"B 5757; witch 105, Sibille femme Jean Vacquaire d'Einville",TESTIFIED_AGAINST
Jean Prevost de Moyemont,"Witch 210; B 8689 no 2, Ulriot Colas Ulriot, Moyemont",TESTIFIED_AGAINST
Jean Prevost de Moyemont,"Witch 211; B 8689 no 3, Jeannon veuve Valentin Poirot, Moyemont",TESTIFIED_AGAINST
Barbeline femme Mengeon Renouard de la Voivrelle,"B 8708 no 8; witch 269, Jean Jacques Gerardin de la Voivrelle",TESTIFIED_AGAINST
Jean Humbert Simon de Braconcel,"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",TESTIFIED_AGAINST
Claudon Colas Le Vieulx Homme de Sachemont,"B 8708 no 1; witch 262, Agathe femme Claudon Urbain, de Sachemont",TESTIFIED_AGAINST
Colas Henry Finance,"B 8677 no 10; Witch 164, Jeanne femme Demenge Claude Martin, de Mandray",TESTIFIED_AGAINST
Jean Bietrix,"B 8691 no 1; witch 212, François Marion de Raon",TESTIFIED_AGAINST
Claudatte femme Colas Bataille de la Vacherie,"B 8684 no 5; Witch 192, Barbelline veuve Demenge Mareschal, de Saulceray",TESTIFIED_AGAINST
Didier Hanna de Dompierre,"B 3792 no 4; witch 065, Thomasse femme Jean Poirot, de Dompierre",TESTIFIED_AGAINST
Mengeatte fille Michiel Jean le Masson,"B 8684 no 3. Witch 77, Françatte veuve Claudon Jardel de Clefcy",TESTIFIED_AGAINST
Didier Claude Ferry de Moriviller,"Witch 209; B 8689 no 1, Chrétien Pierre, Moriviller",TESTIFIED_AGAINST
CIaudon Jandelle de La Pelliere,"Witch 281; B8715 no 4, Antoine Didier Valdexey of Clemecy",TESTIFIED_AGAINST
Jean Demengeon Boudart de Xennenay,"B 2521 no 1; Witch 013, Jacotte femme Nicolas François Raon de Xennenay",TESTIFIED_AGAINST
Fleuratte femme Didier Pernille,"B 8691 no 1; witch 212, François Marion de Raon",TESTIFIED_AGAINST
Jennon femme Jean Mongeay de Domjevin,"B 3325 no 2; witch 035, Clemence veuve Claudon Marchal, de Domjevin",TESTIFIED_AGAINST
Jalnon femme Nicolas Jean de Flin,"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",TESTIFIED_AGAINST
Barbe femme Steffen Faulhanns,"B 5312 no 5; witch 095, Senelle femme Waisen Petter, de Bisping",TESTIFIED_AGAINST
Virion Cherrier homme non marié de Chazelle,"B 3327 no 4; Witch 040, Nicolas Raimbault de Reillon",TESTIFIED_AGAINST
Agnes veuve Jean Demenge Babel de Faing-Thiery,"B 8708 no 8; witch 269, Jean Jacques Gerardin de la Voivrelle",TESTIFIED_AGAINST
Demenge le Petit Nicolas de Robache,"B 8712 no 2; witch 273, Claudette femme Jean Dabo de Grattain",TESTIFIED_AGAINST
Claudel Didier maire au Ban le Duc,"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",TESTIFIED_AGAINST
Nicolas le petit Nicolas,"B 8684 no 1. Witch 188, Jean Demenge le Clerc dit Mandray, de Hurbache",TESTIFIED_AGAINST
Jean Hangney,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST
Jean Hangney,"B 2192 no 1; witch 138, Mengin Mathiotte de Mazerulles",TESTIFIED_AGAINST
Jean Micquel,"B 2583 no 7; witch 021, Royne veuve Dilan Parmentier, dite des Tartres, de",TESTIFIED_AGAINST
Nicolas Villemin,"B 8700 no 3; witch 238, Marguitte veuve Jean Digard, de Raon",TESTIFIED_AGAINST
Royne femme a Bastien Ferry du ban le duc,"B 8708 no 1; witch 262, Agathe femme Claudon Urbain, de Sachemont",TESTIFIED_AGAINST
Demenge Pierson,"B 3323 no 2; witch 026, Sebille femme Jean Pierson, de Leintrey",TESTIFIED_AGAINST
Demenge Pierson,"B 3345; witch 047, Jeanne femme Demenge Mercier, d'Autrepierre",TESTIFIED_AGAINST
Demenge Pierson,"B 3347 no 1; witch 048, Claude Henri, d'Autrepierre",TESTIFIED_AGAINST
Claudatte veuve Colas Houchard,"B 8693 no 2; witch 231, Jean Aulbry du Vivier d'Etival",TESTIFIED_AGAINST
Demenge Lucas of the same,"Witch 283; B 8715 no 6, Annon femme Jean Clauderat de Raon",TESTIFIED_AGAINST
Jannon femme Nicolas Napuel de Brouvelieures,"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",TESTIFIED_AGAINST
Mongeatte femme Jean le Maire,"B 8691 no 14; witch 225, Jaulne femme Claudon Curien, de St Blaise",TESTIFIED_AGAINST
Jean Demenge Noel du Chanoy de Saulcy,"B 8717 no 2; witch 285, Marguitte femme Chrestien Colas Thierry, of le Chanoy de",TESTIFIED_AGAINST
Claudin Caillatte,"B 2199 no 4; witch 139, Mariette veuve Claude Malfourby, d'Amance",TESTIFIED_AGAINST
Nicolas Coupechausse,"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",TESTIFIED_AGAINST
Colas Claudon Bertrand,"B 8730; witch 309, Fleuratte veuve Anthoine Valdexey, de Clefcy",TESTIFIED_AGAINST
Margueritte femme Hermans Hanns,"B 5312 no 5; witch 095, Senelle femme Waisen Petter, de Bisping",TESTIFIED_AGAINST
Bastien Prevost d'Essegney,"B 4094 no 1 Witch 073, Catherine la Rondelatte",TESTIFIED_AGAINST
Mengeatte femme Jean Gerard de Brehimont,"B 8712 no 5; witch 276, Dieudonné Jean Thierion, of Brehimont",TESTIFIED_AGAINST
"Claudon Tontelat de Moyenmoutier
18 months earlier had exchanged a horse with he",B 8721 no 7. Witch 299; Babelon femme Mongeon Voirin de Moyenmoutier,TESTIFIED_AGAINST
Nicolas Lavelline,"B 8687 no 6; witch 204, Mengeatte veuve Colas Lienard de la Rochatte",TESTIFIED_AGAINST
Margueritte femme Nicolas Simon,"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",TESTIFIED_AGAINST
Adam Ganiel du Void de Belmont,"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",TESTIFIED_AGAINST
Henry fils Nicolas Zabey,"B 3345; witch 047, Jeanne femme Demenge Mercier, d'Autrepierre",TESTIFIED_AGAINST
Claudon Demenge Jean Perry,"B 8678 no 3; witch 170, Demenge Milan, de Remomeix",TESTIFIED_AGAINST
Le maire Demenge Mareschal,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",TESTIFIED_AGAINST
Demenge Reillemant de la Chapelle,"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",TESTIFIED_AGAINST
Jennon femme Dieudonné Coupechausse,"B 8691 no 3; witch 214, Alix veuve Demenge Marond, de Raon",TESTIFIED_AGAINST
Zabillon veuve Nicolas Sellier,"B 8724 no 2. Witch 302, Jennon femme Demenge le Maire de Raon",TESTIFIED_AGAINST
Jean Venin,"B 2583 no 4; witch 018, Mengeotte femme Nicolas Colombain, de l'Estraye",TESTIFIED_AGAINST
Estienne Cherrier,"B 5327 no 1; witch 096, Colas Hardier de Mulcey",TESTIFIED_AGAINST
Nicolas George,"B 4103; witch 076, Didelon l'Huillier et sa femme Bietrix, de Gripport",TESTIFIED_AGAINST
Demenge de Nomeny,"B 3347 no 1; witch 048, Claude Henri, d'Autrepierre",TESTIFIED_AGAINST
Jean Noel,"B 8281 no 1; witch 131, Jeanne femme Claudin Bigenel de Villers-sous-Preny",TESTIFIED_AGAINST
Jean Noel,"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay (Ban-de-Sapt)",TESTIFIED_AGAINST
