canonical_id,canonical_name,num_trials,gender,became_accused,outcome,degree,betweenness_centrality,pagerank,closeness_centrality
E01723,valtin jean coulat,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00223,jannon femme,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E02199,chretien bran,4,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00530,bastienne clau,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00407,elizabeth nicolas,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00267,nicolas grand,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00263,chrestienne feu,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00314,claudatte jean pina,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00427,jean francois,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00562,nicolas ory,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00302,jean menusier,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00423,jean marchal,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00588,jeannon jean batho,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00289,dieudonné laurent,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E01708,noel george,4,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00471,dieu,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E02085,claudon jacquot estienne,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00313,dieudonnée nicolas thiebault,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E02142,didier prevost,4,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E00614,collatte claudon gerard thihar,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E02163,margueritte colas,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00310,sebille cloutier colas bourdaine,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00360,sebille didier,4,female,False,,0,0.0,1.905778319927924e-05,0.0
E00648,nicolas estienne,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E00662,mengel le,4,male,False,,0,0.0,1.905778319927924e-05,0.0
E02174,jean mag,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01773,jennon colas lallemand,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01777,catherine mongeon,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E02215,claudon charier,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E01768,claudon curien,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02189,idoulx,3,unknown,False,,0,0.0,1.905778319927924e-05,0.0
E01761,jean bresson,3,male,False,,0,0.0,1.905778319927924e-05,0.0
E02210,catherine claudon mathieu,3,female,False,,0,0.0,1.905778319927924e-05,0.0
E01744,nicolas jean martin,3,male,False,,0,0.0,1.905778319927924e-05,0.0
